steps,date,interval
37,2012-10-01T00:00:00Z,0
37,2012-10-01T00:00:00Z,5
37,2012-10-01T00:00:00Z,10
37,2012-10-01T00:00:00Z,15
37,2012-10-01T00:00:00Z,20
37,2012-10-01T00:00:00Z,25
37,2012-10-01T00:00:00Z,30
37,2012-10-01T00:00:00Z,35
37,2012-10-01T00:00:00Z,40
37,2012-10-01T00:00:00Z,45
37,2012-10-01T00:00:00Z,50
37,2012-10-01T00:00:00Z,55
37,2012-10-01T00:00:00Z,100
37,2012-10-01T00:00:00Z,105
37,2012-10-01T00:00:00Z,110
37,2012-10-01T00:00:00Z,115
37,2012-10-01T00:00:00Z,120
37,2012-10-01T00:00:00Z,125
37,2012-10-01T00:00:00Z,130
37,2012-10-01T00:00:00Z,135
37,2012-10-01T00:00:00Z,140
37,2012-10-01T00:00:00Z,145
37,2012-10-01T00:00:00Z,150
37,2012-10-01T00:00:00Z,155
37,2012-10-01T00:00:00Z,200
37,2012-10-01T00:00:00Z,205
37,2012-10-01T00:00:00Z,210
37,2012-10-01T00:00:00Z,215
37,2012-10-01T00:00:00Z,220
37,2012-10-01T00:00:00Z,225
37,2012-10-01T00:00:00Z,230
37,2012-10-01T00:00:00Z,235
37,2012-10-01T00:00:00Z,240
37,2012-10-01T00:00:00Z,245
37,2012-10-01T00:00:00Z,250
37,2012-10-01T00:00:00Z,255
37,2012-10-01T00:00:00Z,300
37,2012-10-01T00:00:00Z,305
37,2012-10-01T00:00:00Z,310
37,2012-10-01T00:00:00Z,315
37,2012-10-01T00:00:00Z,320
37,2012-10-01T00:00:00Z,325
37,2012-10-01T00:00:00Z,330
37,2012-10-01T00:00:00Z,335
37,2012-10-01T00:00:00Z,340
37,2012-10-01T00:00:00Z,345
37,2012-10-01T00:00:00Z,350
37,2012-10-01T00:00:00Z,355
37,2012-10-01T00:00:00Z,400
37,2012-10-01T00:00:00Z,405
37,2012-10-01T00:00:00Z,410
37,2012-10-01T00:00:00Z,415
37,2012-10-01T00:00:00Z,420
37,2012-10-01T00:00:00Z,425
37,2012-10-01T00:00:00Z,430
37,2012-10-01T00:00:00Z,435
37,2012-10-01T00:00:00Z,440
37,2012-10-01T00:00:00Z,445
37,2012-10-01T00:00:00Z,450
37,2012-10-01T00:00:00Z,455
37,2012-10-01T00:00:00Z,500
37,2012-10-01T00:00:00Z,505
37,2012-10-01T00:00:00Z,510
37,2012-10-01T00:00:00Z,515
37,2012-10-01T00:00:00Z,520
37,2012-10-01T00:00:00Z,525
37,2012-10-01T00:00:00Z,530
37,2012-10-01T00:00:00Z,535
37,2012-10-01T00:00:00Z,540
37,2012-10-01T00:00:00Z,545
37,2012-10-01T00:00:00Z,550
37,2012-10-01T00:00:00Z,555
37,2012-10-01T00:00:00Z,600
37,2012-10-01T00:00:00Z,605
37,2012-10-01T00:00:00Z,610
37,2012-10-01T00:00:00Z,615
37,2012-10-01T00:00:00Z,620
37,2012-10-01T00:00:00Z,625
37,2012-10-01T00:00:00Z,630
37,2012-10-01T00:00:00Z,635
37,2012-10-01T00:00:00Z,640
37,2012-10-01T00:00:00Z,645
37,2012-10-01T00:00:00Z,650
37,2012-10-01T00:00:00Z,655
37,2012-10-01T00:00:00Z,700
37,2012-10-01T00:00:00Z,705
37,2012-10-01T00:00:00Z,710
37,2012-10-01T00:00:00Z,715
37,2012-10-01T00:00:00Z,720
37,2012-10-01T00:00:00Z,725
37,2012-10-01T00:00:00Z,730
37,2012-10-01T00:00:00Z,735
37,2012-10-01T00:00:00Z,740
37,2012-10-01T00:00:00Z,745
37,2012-10-01T00:00:00Z,750
37,2012-10-01T00:00:00Z,755
37,2012-10-01T00:00:00Z,800
37,2012-10-01T00:00:00Z,805
37,2012-10-01T00:00:00Z,810
37,2012-10-01T00:00:00Z,815
37,2012-10-01T00:00:00Z,820
37,2012-10-01T00:00:00Z,825
37,2012-10-01T00:00:00Z,830
37,2012-10-01T00:00:00Z,835
37,2012-10-01T00:00:00Z,840
37,2012-10-01T00:00:00Z,845
37,2012-10-01T00:00:00Z,850
37,2012-10-01T00:00:00Z,855
37,2012-10-01T00:00:00Z,900
37,2012-10-01T00:00:00Z,905
37,2012-10-01T00:00:00Z,910
37,2012-10-01T00:00:00Z,915
37,2012-10-01T00:00:00Z,920
37,2012-10-01T00:00:00Z,925
37,2012-10-01T00:00:00Z,930
37,2012-10-01T00:00:00Z,935
37,2012-10-01T00:00:00Z,940
37,2012-10-01T00:00:00Z,945
37,2012-10-01T00:00:00Z,950
37,2012-10-01T00:00:00Z,955
37,2012-10-01T00:00:00Z,1000
37,2012-10-01T00:00:00Z,1005
37,2012-10-01T00:00:00Z,1010
37,2012-10-01T00:00:00Z,1015
37,2012-10-01T00:00:00Z,1020
37,2012-10-01T00:00:00Z,1025
37,2012-10-01T00:00:00Z,1030
37,2012-10-01T00:00:00Z,1035
37,2012-10-01T00:00:00Z,1040
37,2012-10-01T00:00:00Z,1045
37,2012-10-01T00:00:00Z,1050
37,2012-10-01T00:00:00Z,1055
37,2012-10-01T00:00:00Z,1100
37,2012-10-01T00:00:00Z,1105
37,2012-10-01T00:00:00Z,1110
37,2012-10-01T00:00:00Z,1115
37,2012-10-01T00:00:00Z,1120
37,2012-10-01T00:00:00Z,1125
37,2012-10-01T00:00:00Z,1130
